Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Personal Productivity for Product Managers,"Personal productivity is crucial for busy product managers. In this course, LinkedIn PM Shyvee Shi helps you increase your own productivity in a mindful way and expands your capacity to lead. Shyvee discusses the goals of personal productivity and shows you five principles for mastering productivity. She explains how to build your own system to capture and organize information, as well as how to maintain a not-to-do list. Shyvee covers the importance of resting, recharging, and taking back control of your calendar, then dives into fighting procrastination. She walks you through how to run effective meetings, say a positive no, and move from doing to leading. Productivity is a lifelong commitment, and Shyvee helps you start finding what works for you!",Course,2022-05-24 18:25 UTC,N/A,true,N/A,
Business Analysis for Project Managers,"<div><a href=""https://www.linkedin.com/newsletters/6910288333902417920?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Greta's LinkedIn Newsletter</a></div><br>Business analysis may seem like a broad term, but it fulfills a very specific demand within a company’s operations. A business analyst identifies business needs, and recommends relevant solutions and the requirements needed to deliver those solutions. However, some companies may not have dedicated business analysts, and it often falls to project managers to perform business analysis duties. In this course, Greta Blash shows project managers how to incorporate business analysis into their workflow.<br><br>Greta illustrates the concepts by looking at a topic familiar to project managers—projects—through the lens of business analysis, starting with the pre-project phase where needs are identified, to identifying stakeholders, developing a project roadmap, analyzing requirements, all the way to closure and deployment. By the end of this course, you’ll be able to employ business analysis concepts to avoid inefficiencies, mistakes, and reworking, and deliver your projects on budget and on time.",Course,2023-03-05 03:03 UTC,N/A,false,N/A,
Managing Jira Projects: 1 Introduction,"Jira is one of the leading project management software solutions across multiple industries, and this <i>Managing Jira Projects</i> series from Atlassian University teaches you how to create, configure, and maintain projects in Jira Cloud, as well as partner effectively with Jira Administrators. This first course in the series gets you started on two key topics: managing projects, and managing roles and permissions in Jira. The course describes how to manage projects, lists the components of a Jira project, details how to identify permissions, and covers how to assign project roles.<br><br>Note: To check out other Atlassian University courses about Jira workflows, reporting, automation, and more, click <a href=""https://university.atlassian.com/student/catalog/list?category_ids=21560-jira-software?utm_source=linkedin-learning&utm_medium=comarketing&utm_campaign=P:uni-training*O:university*C:bio*I:linkedin-learning*"" target=""_blank"">here</a>.",Course,N/A,N/A,true,N/A,
Diversity Recruiting,"<div><a href=""https://www.linkedin.com/newsletters/6729522998371586048?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Stacey's LinkedIn Newsletter</a></div><br>As a buzzword, ""diversity"" sounds good, but speaking frankly about age discrimination, gender bias, and hiring disparities can take many talent acquisition professionals out of their comfort zone. In this course, Stacey Gordon explains how to confidently approach the topic of bias and successfully address it when recruiting. She outlines the most common mistakes that recruiters make as well as ways to assess your current recruiting strategy to achieve success.",Course,2022-08-16 18:37 UTC,N/A,false,N/A,
UX Foundations: Interaction Design,"Engaging, easy-to-use products don't appear fully formed in the minds of designers and product teams: they're the result of careful consideration, exploration, and study. Interaction designers are crucial players in the product design process, because they observe human behavior and use what they've learned to craft products that meet people's specific needs. In this course, join instructor David Hogue as he steps through the foundational processes and techniques required for interaction design. David begins by taking a look at key psychology concepts and how they can help us better understand how our people think, feel, and behave. He then takes a deeper dive into the methods and processes used by interaction designers to create considerate, engaging, and valuable products. Learn about the dimensions of interaction design, design thinking, design patterns, usability and accessibility, and more.",Course,2022-08-25 21:17 UTC,N/A,true,N/A,
Introducing .NET Core,".NET is an open-source development platform, a collection of languages and libraries that can work together to build all kinds of applications. In this course, Scott Hanselman and Kendra Havens introduce you to .NET Core and walk you through how to build your first app. First, Scott and Kendra show you how to install the .NET software development kit (SDK) and how to install Visual Studio. Next, they teach you how to say Hello World with C#. They step you through some basics of Visual Studio and debugging. Next, they cover how to add a class library to your executable program. Kendra and Scott explore NuGet, a .NET package manager that lets you pull in code from other community members and use it in your programs. They go over how to write some unit tests in C# and run them with the Visual Studio Test Explorer. In conclusion, they demonstrate how to publish your app to Windows and to Linux.<br><br>This course was created by Microsoft.NET. We are pleased to host this training in our library.",Course,2023-02-07 14:56 UTC,N/A,false,N/A,
Introduction to Fortran,"Fortran is still widely used in high performance computing (HPC), and it is seeing a resurgence in open-source activity. Scientific and engineering applications continue to use it in existing applications. In this course, Brad Richardson covers some foundational concepts of programming in general and how those concepts are used in the Fortran language. Brad shows you how to set up Fortran in Windows, Mac, and Linux and walks you through the structure of a Fortran program. He goes over the process for fixing mistakes, as well as basics like variables, named constants, expressions, constructs, and arrays. Brad explains interactivity and how to organize and reuse certain sections of code. He concludes with a discussion on some of the more advanced features of Fortran and some common patterns that you can use to handle different classes of problems.",Course,2022-10-21 16:33 UTC,N/A,false,N/A,
Success Habits,"<div><a href=""https://www.linkedin.com/newsletters/6775140114768125952?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Chris's LinkedIn Newsletter</a></div><br>Habits have been identified as the key to success over the long term. Take a short break for learning and learn a new success habit. Join experienced and insightful instructor Chris Croft as he delivers valuable and practical success tips. He covers topics such as the relationship between success, money, and happiness; emotional intelligence; goal setting; organization; purpose; and creativity.",Course,2023-05-04 19:43 UTC,N/A,true,N/A,
Social Media Marketing Tips (2019),"Social media marketing transcended novelty status long ago. In the modern business landscape, a healthy social media presence is a must for companies large and small. In this course, instructor Carlos Gil shares a set of quick tips for marketing your business on social media. Carlos shows how to manage a posting schedule and decide what—and where—you should post. Learn how to engage influencers and brand advocates, grow your personal brand, craft the perfect LinkedIn InMail message, boost organic Facebook reach and engagement, get more Instagram followers, and more. Along the way, he shares tricks for making your processes smooth and easy.",Course,N/A,N/A,true,N/A,
Lighting for Photographers: Portraiture,"In this course, photographer and teacher Natalie Fobes introduces the techniques behind lighting for portraiture. Its begins with a look at the role of light in setting the mood of a portrait, and then looks at the essential gear photographers need for continuous-light portraiture. The techniques shown are also applicable to strobe lighting. Next, Natalie details a variety of common one-light and two-light lighting techniques, explaining exposure, metering considerations, and light modifiers along the way. The course concludes with several lighting tips, including minimizing physical challenges and do-it-yourself lighting gear instructions.",Course,2022-06-21 14:57 UTC,N/A,false,N/A,
Social Media Marketing Strategy: TikTok and Instagram Reels,"If you’re in marketing, the only thing worse than not having a social media marketing strategy is having a bad one. This course shows you how to use TikTok and Instagram Reels to boost your brand awareness and audience engagement, as well as effectively reach and expand your audience. Ashley Kennedy starts by discussing the role of short-form video in social media marketing, then details techniques to create strong short-form video regardless of the platform. She digs deeper into TikTok and Instagram Reels, highlighting the unique potential rewards of each, along with similarities you can leverage between the platforms. Ashley also provides insights on the TikTok algorithm, how to use hashtags effectively, capitalize on trends, and leverage influencers to aid in your marketing efforts. Even if you don’t have a background in video, Ashley gives you the tools you need to produce high-performing social media content for both TikTok and Instagram, a Meta platform.",Course,N/A,N/A,true,N/A,
32 Ways to Make Extra Money,"In this fast-paced and fun course, hear 32 inspiring stories of busy people who used their existing skills to create revenue during their off-hours from regular jobs. Instructor Chris Guillebeau shares stories and examples from 32 different side hustles and shares a step-by-step guide for getting started. Chris discusses the pros and cons of different business models, shares the profitability and challenges of type of business, and offers resources for more information.",Course,N/A,N/A,true,N/A,
Managing Your Personal Finances,"For many of us who are not financial professionals, worrying about money and saving for the future can be a chore. In this course, financial expert Jane Barratt shows how opportunities arise when you change your attitude towards money. She walks you through the basics of personal finance—earning, spending, saving, and investing—with an eye for finding opportunities to enrich your life. She addresses such questions as: How can you earn more? What are the different types of income? How can you use tax season as a benchmark for planning and goal setting? How do you budget? What is the value of money and what are the smartest approaches for savings and investing?  All of this and more is covered in this beginner's course in personal finance.",Course,2023-02-23 15:53 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-07-15 14:49 UTC,N/A,false,N/A,
LinkedIn Learning Highlights,"LinkedIn Learning offers thousands of courses to help you gain new skills, stay sharp, and move your career ahead. Explore this collection of highlights from top-viewed courses covering soft skills and tools. Discover business courses that focus on leadership, management, and performance. Find out which creative courses cover user experience, graphic design, and audio production. Learn about technology courses that provide training on data science, cloud computing, DevOps, system administration, and more. Each highlight includes video clips and insights taken directly from the referenced course, so you can get a sample of what the course is like.",Course,N/A,N/A,true,N/A,
Lightroom Classic: Tips and Quick Fixes (2019),"Fix problem photos fast with this collection of quick tips for Lightroom Classic. In this course, Richard Harrington presents a just-the-facts approach to fixing common issues in Lightroom. In each video, Richard addresses a specific problem—such as poor color balance or excessive noise—and then shows how to fix it in Lightroom. He shares tips and techniques for resizing photos; adjusting focus, perspective, and exposure; blurring backgrounds; retouching portraits; and more. This course is a great resource for enhancing images on the fly in Lightroom—and learning the software at the same time.",Course,N/A,N/A,true,N/A,
Writing a Cover Letter,"<p>Cover letters matter. When done right, they spell out clearly who you are, what you have to offer, and—most importantly—why your skills, experience, and interests make you the perfect person for the job you’re vying for. In this course, join career strategist and Certified Professional Resume Writer Jenny Foss as she dives into the topic of cover letters, detailing how to craft one that helps you land the interview and—ultimately—the job. Explore the elements of an exceptional cover letter and learn  how to craft a killer lead, provide direct evidence for why your skills align with a position, and close on a strong note. Plus, Jenny shares tips for getting your polished letter directly into the hands of decision-makers.</p>",Course,2022-03-21 14:36 UTC,N/A,false,N/A,
SEO: Optimize Your Social Media Profiles,"Social media marketing can help you to build a community of followers who grow to know, like, trust, and advocate your brand. In this course, social media SEO expert Sam Dey details how to build an SEO strategy for your social media marketing activities and shows you how to positively impact your company’s overall visibility within major search engines such as Google, YouTube, Yahoo, and Bing. Sam also covers opportunities to thoughtfully leverage important aspects of social media, including: building authority, social bookmarking websites, profile optimization, and content creation. He highlights the important role that social media plays with relation to SEO as well as how to effectively optimize social media profiles for increased visibility, followers, and engagement. Build the SEO strategy for your social media marketing efforts with the concrete actions outlined in this course.",Course,N/A,N/A,true,N/A,
Financial Freedom: A Proven Path to All the Money You Will Ever Need,"Wish you had the money to quit your job and retire sooner to focus on what you really love doing? It’s not as unrealistic as you think. In this audio course, learn some of the fundamental rules for making the money you need more quickly to live the life you want. Find out the financials of retiring early, determine your current net worth and how much money you’ll need, and discover easy, creative, and entrepreneurial ways to get that extra cash. Then, learn how to invest it strategically to grow your nest egg and get ready for the freedom to spend your time pursuing what you’ve always dreamed of doing.<br><br>This audiobook was created by Penguin Random House. We are pleased to host this content in our library.",Course,2020-09-13 16:34 UTC,N/A,true,N/A,
LinkedIn Learning Highlights: Business Strategy and Analysis,"Excel in business with courses, weekly series, and learning paths from LinkedIn Learning. Here, you can sample highlights from courses covering a wide range of business topics. Take your business to the next level with courses on entrepreneurship, innovation, creativity, and project management. Work more effectively with insights on management and leadership. And be more productive with tips on managing everything from schedules to meetings to stress.<br><br>

When you're ready to explore more, you can find links to all of the courses featured here in the PDF accessible through the Exercise Files tab.",Course,N/A,N/A,true,N/A,
Nano Tips for Professional Networking with AJ Eckstein,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, professional career coach and top-rated podcast host AJ Eckstein shows you what it takes to network like a pro, helping you forge connections and build strong relationships to land a new job or boost your career. All of his insights are derived from the interviews he has with recruiters on his show, <i>The Final Round</i>.<br><br>Discover the value of professional networking, what to avoid, why you should start early, and how to maximize opportunities. Learn about best practices for effective outreach, in-depth research, following up, and standing out from the crowd. From tough questions about referrals and compensation, to staying in touch with powerful connections, AJ gives you quick, easy-to-use tips that you can put into practice on your next big call.<br><br>Note: This course was created by AJ Eckstein. We are pleased to host this content in our library.",Course,2023-10-06 22:18 UTC,N/A,false,N/A,
Introduction to Prompt Engineering for Generative AI,"<p>If you are a beginner looking to learn more about Natural Language Processing (NLP) capabilities or a developer wanting to get started with modern NLP APIs, this course offers a great introduction. Software developer and instructor Ronnie Sheer guides you through what large language models are and what problems they may be able to solve. Ronnie dives into text generation, starting with a warning to use text generation AI responsibly, then moving on to Chat GPT, GPT-3, and J1 with few-shot learning. He introduces you to the AI generated image landscape, then shows you how to use Dall-E and Midjourney. Plus, Ronnie goes over a couple of advanced concepts, like how to fine tune your prompts and how to interact with language models using an API.</p>",Course,N/A,N/A,true,N/A,
"Occupational Safety and Health: Slips, Trips, and Falls","No workplace is immune from accidents. From worksites full of hazards like construction sites or warehouses, to seemingly benign places like your average office, accidents just happen. And while you may not spend your days worrying about slips, trips, or short falls, these are some of the most frequent injuries and can be serious enough to require medical attention and time off work.<br><br>
In this course, construction safety consultant Jim Rogers covers slips, trips, and falls, where they tend to occur, and their impact on the employee and the workplace. Jim provides an understanding of how both working conditions and physical structure of the jobsite can present hazards, and details policies, practices, and technology (such as personal protective equipment) that can limit the danger.",Course,2023-10-09 16:19 UTC,N/A,false,N/A,
Dan Ariely on Making Decisions,"What happens in your brain when you make a decision? When should you use your intuition? How do you make a decision when the stakes are high, when someone will be negatively impacted, when there’s too much or too little information, or when you need to involve your whole team in the decision-making process? And how can you stop procrastinating making a decision? In this course, Dan Ariely—social scientist, beloved professor, and best-selling author of seven books—answers the most-pressing questions about decision-making, based on insights from his extensive research.",Course,2022-09-29 02:11 UTC,N/A,false,N/A,
Moving DEI from Intention to Impact with Ruchika Tulshyan,"You’ve probably encountered initiatives at your workplace focused on increasing inclusion. Some seem to work, some have no effect, and some even have a negative impact. What differentiates these efforts at creating inclusive environments? While they may all be created with good intentions, good intentions alone are not enough. In fact, as Ruchika Tulshyan illustrates in this course, good intentions without awareness can be the biggest barrier to creating a truly inclusive environment, because many of us believe intention alone is enough to make change. They’re not. Your intentions may be positive, but they may not be received positively. True impact requires much more effort than simply having good intentions, it takes learning and regular practice. Take this course to find out how.",Course,2022-12-03 04:13 UTC,N/A,false,N/A,
Excel for Corporate Finance Professionals (2018),"Discover how to use Microsoft Excel for the bread-and-butter tasks required by corporate finance and financial planning and analysis (FP&A) professionals. In this hands-on course, professor Michael McDonald steps through how to leverage this powerful tool to pick corporate investments, determine your firm's cost of capital, and perform operational budgeting. Michael steps through how to estimate weighted average cost of capital (WACC), build a budget, perform stress testing and scenario analysis, and more. Throughout the course, Michael includes exercises—together with downloadable exercise files—that can provide you with a practical understanding of these key topics.",Course,N/A,N/A,true,N/A,
Develop Your Personal Brand in Tech with LinkedIn,"Having a strong personal brand can help you stand out from competitors and colleagues and attract relevant opportunities. The value of data is now well recognized, and the value of data professionals has increased substantially. As more individuals join the tech field, competition increases and therefore it’s even more important now to focus on building a brand to help you stand out from peers. In this course, Kate Strachnyi, a data professional who has built an online community and a large social media following, teaches you how to develop your own personal brand with LinkedIn to help you distinguish yourself in an increasingly crowded field of qualified professionals. She covers the benefits of having a personal brand on LinkedIn, shares tips for creating your profile, and explains the various types of content that you can create and share in support of building your brand.",Course,2022-08-27 22:02 UTC,N/A,true,N/A,
Strategic Thinking Tips to Solve Problems and Innovate,"Do you struggle when it comes to problem solving? Would you like to think more strategically? In this course, strategy consultant AJ Eckstein guides you through a three-part process with actionable tips on how to think like a consultant and solve problems both at work and in your personal life. AJ covers a variety of creative methods you can lean on when thinking through solutions to a problem, and strategies to package a solution and effectively share it with stakeholders.",Course,2023-07-27 22:33 UTC,N/A,true,N/A,
Advanced C Programming: Optimize Performance and Efficiency,"Once you've mastered the basics of programming in C, you can concentrate on writing more efficient, more functional code. In this course, Dan Gookin offers some tips to help you extend your C programming skills. Learn how to read and write main function arguments, build more useful variables, and work with arrays and structures. Plus, get tips on generating pointers, and take the practice challenges to test your learning along the way.",Course,N/A,N/A,true,N/A,
